TAHUN,JANUARI,FEBRUARI,MARET,APRIL,MEI,JUNI,JULI,AGUSTUS,SEPTEMBER,OKTOBER,NOVEMBER,DESEMBER
1971,0.378,0.191,0.372,0.441,0.145,-0.025,-0.041,-0.243,-0.357,-0.25,0.281,0.443
1972,0.33,-0.035,0.194,0.32,0.366,0.939,1.012,0.807,0.742,0.69,0.92,0.694
1973,0.223,0.105,0.161,0.081,0.297,-0.018,-0.184,-0.302,-0.381,-0.055,0.121,0.287
1974,0.468,0.341,0.418,0.144,-0.026,0.18,0.063,-0.201,-0.272,-0.459,-0.274,-0.124
1975,-0.177,-0.067,-0.29,0.284,0.281,0.261,0.264,-0.052,-0.469,-0.671,-0.065,0.059
1976,0.195,0.26,0.184,0.318,0.21,0.57,0.882,0.391,0.161,0.137,0.08,0.256
1977,0.18,-0.076,0.338,0.17,-0.13,0.105,0.131,0.023,0.114,0.602,0.121,0.193
1978,-0.451,-0.35,-0.418,-0.024,-0.327,0.02,0.194,0.082,0.126,-0.122,-0.188,-0.029
1979,0.494,0.025,0.13,-0.015,-0.234,0.304,-0.01,0.063,0.103,0.063,0.015,0.126
1980,0.025,-0.021,-0.251,0.103,0.148,-0.171,-0.339,-0.513,-0.35,-0.282,-0.162,-0.264
1981,-0.02,0.148,0.186,0.28,0.189,-0.032,-0.247,-0.323,-0.363,-0.228,-0.063,0.211
1982,0.327,0.35,0.218,0.312,0.434,0.46,0.574,0.547,0.82,0.99,0.541,0.064
1983,-0.297,-0.405,-0.582,-0.353,0.157,0.579,0.832,0.642,0.314,0.089,-0.07,0.131
1984,-0.038,0.033,0.049,0.252,-0.083,-0.143,-0.049,-0.194,-0.216,-0.272,-0.148,-0.046
1985,-0.278,-0.446,-0.37,-0.007,-0.01,-0.416,-0.09,-0.158,0.144,-0.124,0.338,-0.191
1986,0.073,0.044,-0.034,-0.089,0.058,-0.073,-0.242,-0.111,0.229,0.318,0.015,-0.052
1987,0.097,0.222,0.024,0.04,0.381,0.312,0.508,0.585,0.766,0.62,0.21,0.377
1988,0.532,0.029,-0.146,0.07,-0.293,-0.057,0.163,0.008,-0.015,-0.142,0.089,0.391
1989,-0.09,0.14,-0.149,-0.279,-0.375,-0.566,-0.13,-0.014,0.162,-0.035,-0.076,0.058
1990,0.076,-0.11,0.023,-0.19,-0.135,-0.361,0.057,-0.094,0.198,0.029,0.168,0.229
1991,0.24,0.074,0.122,0.475,0.586,0.461,0.566,0.343,0.471,0.329,0.293,0.294
1992,-0.146,-0.215,-0.511,-0.359,-0.334,-0.65,-0.168,-0.471,-0.45,-0.254,-0.135,-0.09
1993,-0.02,0.209,-0.136,0.008,0.186,0.098,0.149,-0.016,0.206,0.211,0.107,0.016
1994,0.203,0.035,0.357,0.532,0.746,0.629,0.85,1.09,0.903,1.063,0.546,0.488
1995,0.316,0.334,0.112,-0.024,-0.038,0.129,0.138,0.154,0.204,0.011,-0.027,0.317
1996,0.16,0.152,0.087,-0.167,-0.049,-0.185,-0.333,-0.381,-0.327,-0.729,-0.528,-0.187
1997,0.079,0.254,0.205,0.245,0.241,0.291,0.755,0.927,1.143,1.24,1.528,1.085
1998,0.696,0.602,0.117,0.248,0.356,0.359,-0.064,-0.266,-0.1,-0.356,-0.38,-0.103
1999,0.062,0.152,0.276,0.194,0.032,0.07,0.416,0.314,0.331,0.183,0.152,0.082
2000,0.062,0.174,0.31,0.344,0.33,0.189,0.39,0.433,0.293,0.227,-0.041,-0.017
2001,-0.245,0.163,0.15,0.333,0.35,0.334,0.17,-0.001,0.156,-0.075,0.021,0.171
2002,0.04,0.087,0.173,-0.157,-0.115,0.019,0.049,0.084,0.664,0.768,0.353,0.065
2003,-0.063,0.199,0.12,0.094,0.051,0.344,0.436,0.4,0.32,0.13,0.1,0.407
2004,0.225,0.293,0.248,0.116,-0.347,-0.182,0.007,0.159,0.273,0.365,0.099,0.091
2005,0.055,-0.376,-0.268,0.277,0.181,0.029,-0.073,-0.048,-0.152,-0.061,-0.009,-0.068
2006,0.056,-0.12,-0.06,0.181,0.003,0.145,0.344,0.52,0.8,0.938,0.754,0.392
2007,0.402,0.331,0.275,0.291,0.483,0.239,0.358,0.533,0.616,0.444,0.241,0.004
2008,0.303,0.112,0.269,0.041,0.395,0.421,0.551,0.417,0.467,0.403,0.139,0.174
2009,0.218,0.348,0.264,0.318,0.468,0.303,0.113,0.194,0.272,0.355,0.183,0.382
2010,0.473,0.209,0.628,0.559,0.181,0.063,0.306,0.241,0.117,-0.063,-0.221,0.021
2011,0.373,0.418,0.537,0.351,0.124,0.259,0.53,0.643,0.579,0.728,0.592,0.097
2012,0.227,0.1,0.195,-0.065,-0.124,0.215,0.853,0.941,0.833,0.483,0.16,0.488
2013,0.118,0.372,0.246,-0.103,-0.293,-0.294,0.12,0.098,0.076,0.213,0.453,0.368
2014,0.089,0.092,0.014,0.136,0.119,0.18,-0.052,-0.077,0.237,0.496,0.267,0.266
2015,0.077,-0.165,-0.076,0.186,0.451,0.495,0.527,0.856,0.668,0.851,0.594,0.49
2016,0.438,0.066,0.161,0.341,0.104,-0.229,-0.435,-0.145,-0.055,0.01,-0.098,-0.075
2017,0.099,0.283,0.528,0.703,0.751,0.633,0.826,0.643,0.414,0.389,0.545,0.342
2018,-0.018,0.391,0.043,0.11,0.332,0.362,0.362,0.415,0.975,1.05,0.743,-999
